ID,rating,date,user,reviewText,product_ID
f93cb470-5ea8-49cd-b86d-8a3fd97fdc9e,4.5,2024-05-01,johndoe,"Great product! Works perfectly.",54244d10-5450-4fa3-b157-20f57943c812
9a8b4e7f-6b41-4b3a-8de1-3c9e5a1f2c7d,3.8,2023-11-15,janedoe,"Good, but expected better quality.",740fc1ac-523a-4b2d-91cb-fc6f21833d6d
d5c2e41a-9a38-432d-bdd6-6e8c3f5e79d3,5.0,2024-02-10,mike123,"Excellent! Worth every penny.",c51c97f1-c98f-4f05-987f-8da22ed885bc
b7e6c3a2-68b2-472e-b4de-9e1f3a67c5d8,2.5,2023-08-25,sarah456,"Not as described. Disappointed.",05d5d225-e6e9-49b0-a339-de815cb71ed3
c2d1b8e9-3f4a-4dfc-8e7b-5d9a3f1b27c4,4.0,2024-01-18,alex789,"Looks great and very comfortable.",1f01b152-ff5b-478e-a4bd-8c4137acdcc4
e8a7d9f5-2b31-4d7e-a8c3-5d6a3f7e1c2d,4.9,2024-03-30,emma321,"Fantastic! Would buy again.",c4e6fb76-22b3-4545-b5e7-4fa6ad0ccb21
f9c3e6b1-2a8d-4e9c-87b3-5d7a1f2b4c6e,3.2,2023-10-12,jack654,"Decent, but could be better.",03f2abba-f870-49f7-97fe-255103e67d5b
b5e9a2c3-68d4-4e7b-b2f3-7c1a5d9e4f2b,4.6,2024-04-05,lucy987,"Highly recommended!",bc67d537-19d2-4ed5-9fdf-6f3b87bb3022
d7c1e9f2-5a4b-4c3e-82d7-5f1b3a9c2e6d,5.0,2024-06-12,oliver123,"One of the best purchases ever.",4152aa30-0bdd-42aa-8cab-1b23d1f4b6d2
a4b6c3e9-5d2f-4a8b-97c1-5e7a2f9d3b1c,3.9,2023-12-20,amelia456,"Pretty good, but a bit pricey.",fcd3c779-229d-483f-a50b-78c0d839ebe6
